id,item_id,category,item_name,item_condition,price,hot,bid_count,bidder,bid,pic
28,11955906,办公文仪,"麦克赛尔（maxell）DVD-RW 2速 4.7G 台产 单片装 可反复擦写 刻录盘",未使用,9,3652次,2,****精,3.00,http://img14.360buyimg.com/n1/g5/M02/14/09/rBEIDE__2mUIAAAAAAK32pa-OlUAAD9qQJbIjsAArfy341.jpg
29,11955317,五花八门,"小米（MI）小米手环腕带 橙色",使用过,19.9,449次,11,****8888,12.00,http://img14.360buyimg.com/n1/jfs/t1045/324/1023310134/58110/f4ca36e3/556d21d8Neb9f5a7e.jpg
30,11955946,外设产品,"罗技（Logitech）G402 高速追踪游戏鼠标",维修过,279,5138次,27,****x密麻麻,139.00,http://img14.360buyimg.com/n1/jfs/t217/235/780207740/62489/3ffe774a/53f157f7N94e24338.jpg
31,11956321,时尚影音,"Beats Solo2 Wireless 头戴式耳机 - 金色  蓝牙无线 带麦",使用过,Null,3842次,20,****bfd1,983.00,http://img14.360buyimg.com/n1/jfs/t2278/209/1885658020/152837/d82a872c/568b848fN06f6a923.jpg
32,11956215,奢侈品,"VICTORIA'S SECRET 维多利亚的秘密女士蓝色波点时尚文胸 343435 BF8 32B",使用过,299,2892次,5,****0726,88.00,http://img14.360buyimg.com/n1/jfs/t1870/237/1593736167/79970/71fe7a07/56cc01c5Ne4d3ea53.jpg
33,11956250,五花八门,"日本花王（Merries）婴儿纸尿裤 中号M64片（6-11kg）（日本原装进口）",未使用,119,1960次,10,****4rkk,90.00,http://img14.360buyimg.com/n1/jfs/t2188/179/2006523553/305156/3e4ad9c3/569606b5N5dfb60e0.jpg
34,11956398,五花八门,"小米（MI）小米智能手环 光感版 心率手环",维修过,99,470次,3,****18jy,68.00,http://img14.360buyimg.com/n1/jfs/t2131/35/1058637457/238001/249d2014/5641d81fN083d591a.jpg
35,11956033,手机通讯,"三星 快速无线充电器（白色）",使用过,Null,1233次,2,****帮你抬价,70.00,http://img14.360buyimg.com/n1/jfs/t2458/80/2475981044/179600/9003dbf7/56d693d6Nfb38bae8.jpg
36,11955371,手机通讯,"已激活Apple iPhone 6s (A1700) 64G 玫瑰金色 移动联通电信4G手机",维修过,5588,9647次,21,****职业技术,4700.00,http://img14.360buyimg.com/n1/jfs/t2461/281/145335373/97081/8af73dbf/55f0e80aN532efcae.jpg
37,11955122,个护健康,"飞利浦（PHILIPS）HP8200电吹风机 家用大功率 6档风速 恒温护发",使用过,88,991次,14,****9870,39.00,http://img14.360buyimg.com/n1/1849/41d836f4-aed5-4da1-b946-2dbafdadad0a.jpg
38,11956644,电脑整机,"机械革命（MECHREVO）MRX6S-LE01 15.6英寸游戏笔记本电脑（i5-4210M 4G 64SSD+1T GTX960M 2G独显 IPS屏）黑",使用过,5299,11950次,48,****d3c0,3748.00,http://img14.360buyimg.com/n1/jfs/t2545/175/1475109808/287226/c20a9203/56ce6ca7N926720b8.jpg
39,11956931,手机通讯,"奇酷（QiKU） 青春版 移动联通4G手机 智铂银 双卡双待",维修过,999,5151次,36,****c0d4,623.00,http://img14.360buyimg.com/n1/jfs/t2329/238/224765017/106621/2cd1baee/55f68ac9N4276641d.jpg
40,11953147,手机通讯,"三星 Galaxy S6 edge（G9250）32G版 松珀绿 移动联通电信4G手机",使用过,5288,40324次,28,****你的心1,3888.00,http://img14.360buyimg.com/n1/jfs/t1300/189/2304184/98914/38703547/55407f8dN30699183.jpg
